ID,X,Y
Bauxite_elongated_1,707.0,178.0
Bauxite_elongated_1,704.0,178.0
Bauxite_elongated_1,704.0,179.0
Bauxite_elongated_1,705.0,179.0
Bauxite_elongated_1,705.0,187.0
Bauxite_elongated_1,704.0,187.0
Bauxite_elongated_1,704.0,188.0
Bauxite_elongated_1,703.0,188.0
Bauxite_elongated_1,703.0,189.0
Bauxite_elongated_1,704.0,189.0
Bauxite_elongated_1,704.0,192.0
Bauxite_elongated_1,707.0,192.0
Bauxite_elongated_1,707.0,194.0
Bauxite_elongated_1,705.0,194.0
Bauxite_elongated_1,705.0,196.0
Bauxite_elongated_1,704.0,196.0
Bauxite_elongated_1,704.0,197.0
Bauxite_elongated_1,702.0,197.0
Bauxite_elongated_1,702.0,201.0
Bauxite_elongated_1,699.0,201.0
Bauxite_elongated_1,699.0,202.0
Bauxite_elongated_1,695.0,202.0
Bauxite_elongated_1,695.0,204.0
Bauxite_elongated_1,691.0,204.0
Bauxite_elongated_1,691.0,205.0
Bauxite_elongated_1,677.0,205.0
Bauxite_elongated_1,677.0,204.0
Bauxite_elongated_1,676.0,204.0
Bauxite_elongated_1,676.0,202.0
Bauxite_elongated_1,663.0,202.0
Bauxite_elongated_1,663.0,204.0
Bauxite_elongated_1,652.0,204.0
Bauxite_elongated_1,652.0,202.0
Bauxite_elongated_1,649.0,202.0
Bauxite_elongated_1,649.0,201.0
Bauxite_elongated_1,647.0,201.0
Bauxite_elongated_1,647.0,199.0
Bauxite_elongated_1,645.0,199.0
Bauxite_elongated_1,645.0,197.0
Bauxite_elongated_1,644.0,197.0
Bauxite_elongated_1,644.0,193.0
Bauxite_elongated_1,642.0,193.0
Bauxite_elongated_1,642.0,185.0
Bauxite_elongated_1,641.0,185.0
Bauxite_elongated_1,641.0,184.0
Bauxite_elongated_1,639.0,184.0
Bauxite_elongated_1,639.0,181.0
Bauxite_elongated_1,636.0,181.0
Bauxite_elongated_1,636.0,179.0
Bauxite_elongated_1,632.0,179.0
Bauxite_elongated_1,632.0,175.0
Bauxite_elongated_1,628.0,175.0
Bauxite_elongated_1,628.0,173.0
Bauxite_elongated_1,626.0,173.0
Bauxite_elongated_1,626.0,170.0
Bauxite_elongated_1,625.0,170.0
Bauxite_elongated_1,625.0,169.0
Bauxite_elongated_1,624.0,169.0
Bauxite_elongated_1,624.0,168.0
Bauxite_elongated_1,623.0,168.0
Bauxite_elongated_1,623.0,161.0
Bauxite_elongated_1,622.0,161.0
Bauxite_elongated_1,622.0,160.0
Bauxite_elongated_1,621.0,160.0
Bauxite_elongated_1,621.0,158.0
Bauxite_elongated_1,620.0,158.0
Bauxite_elongated_1,620.0,155.0
Bauxite_elongated_1,618.0,155.0
Bauxite_elongated_1,618.0,147.0
Bauxite_elongated_1,617.0,147.0
Bauxite_elongated_1,617.0,146.0
Bauxite_elongated_1,615.0,146.0
Bauxite_elongated_1,615.0,144.0
Bauxite_elongated_1,614.0,144.0
Bauxite_elongated_1,614.0,140.0
Bauxite_elongated_1,612.0,140.0
Bauxite_elongated_1,612.0,137.0
Bauxite_elongated_1,611.0,137.0
Bauxite_elongated_1,611.0,135.0
Bauxite_elongated_1,610.0,135.0
Bauxite_elongated_1,610.0,134.0
Bauxite_elongated_1,609.0,134.0
Bauxite_elongated_1,609.0,130.0
Bauxite_elongated_1,610.0,130.0
Bauxite_elongated_1,610.0,129.0
Bauxite_elongated_1,609.0,129.0
Bauxite_elongated_1,609.0,126.0
Bauxite_elongated_1,607.0,126.0
Bauxite_elongated_1,607.0,118.0
Bauxite_elongated_1,606.0,118.0
Bauxite_elongated_1,606.0,114.0
Bauxite_elongated_1,605.0,114.0
Bauxite_elongated_1,605.0,108.0
Bauxite_elongated_1,604.0,108.0
Bauxite_elongated_1,604.0,107.0
Bauxite_elongated_1,603.0,107.0
Bauxite_elongated_1,603.0,104.0
Bauxite_elongated_1,602.0,104.0
Bauxite_elongated_1,602.0,102.0
Bauxite_elongated_1,601.0,102.0
Bauxite_elongated_1,601.0,101.0
Bauxite_elongated_1,600.0,101.0
Bauxite_elongated_1,600.0,97.0
Bauxite_elongated_1,599.0,97.0
Bauxite_elongated_1,599.0,90.0
Bauxite_elongated_1,597.0,90.0
Bauxite_elongated_1,597.0,84.0
Bauxite_elongated_1,596.0,84.0
Bauxite_elongated_1,596.0,81.0
Bauxite_elongated_1,594.0,81.0
Bauxite_elongated_1,594.0,76.0
Bauxite_elongated_1,593.0,76.0
Bauxite_elongated_1,593.0,71.0
Bauxite_elongated_1,594.0,71.0
Bauxite_elongated_1,594.0,66.0
Bauxite_elongated_1,596.0,66.0
Bauxite_elongated_1,596.0,61.0
Bauxite_elongated_1,597.0,61.0
Bauxite_elongated_1,597.0,60.0
Bauxite_elongated_1,599.0,60.0
Bauxite_elongated_1,599.0,58.0
Bauxite_elongated_1,601.0,58.0
Bauxite_elongated_1,601.0,56.0
Bauxite_elongated_1,602.0,56.0
Bauxite_elongated_1,602.0,55.0
Bauxite_elongated_1,604.0,55.0
Bauxite_elongated_1,604.0,54.0
Bauxite_elongated_1,606.0,54.0
Bauxite_elongated_1,606.0,53.0
Bauxite_elongated_1,609.0,53.0
Bauxite_elongated_1,609.0,51.0
Bauxite_elongated_1,610.0,51.0
Bauxite_elongated_1,610.0,50.0
Bauxite_elongated_1,612.0,50.0
Bauxite_elongated_1,612.0,46.0
Bauxite_elongated_1,614.0,46.0
Bauxite_elongated_1,614.0,45.0
Bauxite_elongated_1,618.0,45.0
Bauxite_elongated_1,618.0,43.0
Bauxite_elongated_1,628.0,43.0
Polyhedron_compact_1,180.0,610.0
Polyhedron_compact_1,215.0,661.0
Polyhedron_compact_1,227.0,742.0
Polyhedron_compact_1,149.0,789.0
Polyhedron_compact_1,122.0,790.0
Polyhedron_compact_1,70.0,756.0
Polyhedron_compact_1,72.0,730.0
Polyhedron_compact_1,99.0,651.0
Polyhedron_compact_1,180.0,609.0
Polyhedron_compact_1,180.0,610.0
Polyhedron_elongated_1,628.0,44.0
Polyhedron_elongated_1,700.0,115.0
Polyhedron_elongated_1,712.0,168.0
Polyhedron_elongated_1,702.0,201.0
Polyhedron_elongated_1,652.0,204.0
Polyhedron_elongated_1,623.0,168.0
Polyhedron_elongated_1,593.0,71.0
Polyhedron_elongated_1,628.0,43.0
Polyhedron_elongated_1,628.0,44.0
